start,end,text
0,4660," так хорошо тогда начнем"
4660,11000," роль лак сейчас я вам включу лак"
11000,17280," все включил"
17280,26520," почему него так мало было чуть-чуть на 3 что-то много"
26520,30000," А скажи что-нибудь еще."
30000,30720," Плюс, пожалуйста."
30720,31000," Мне?"
31000,34380," Что там так мало лака было у меня?"
34380,41340," Ты потратил еще весь, когда убегал от того чувака."
41340,43960," Восстановил, но, по ходу, опять потратил."
43960,50340," Блин, что-то я пошел не в тот режим существования."
50340,53660," Надо поднакопить лака."
53660,57640," Вот, короче, к примеру, стелс, лак спенд один."
60000,62220," Психологи чек"
62220,63840," Лаг спенд 11"
63840,66820," Все, короче, я экономлю"
66820,70440," Перехожу на консервирование режима игры"
70440,73700," Консервируй лаг"
73700,75660," Все твои лаги записаны"
75660,78880," Все ходы"
78880,85000," У тебя, Клементина, что-то, по-моему"
85000,86460," Случилось"
86460,87760," Два раза лаг"
87760,89260," Я, походу, два раза нажала"
89480,90000," Я второй."
90000,92060," Второе число сейчас..."
92060,92820," Отниму ручку."
92820,95240," У тебя, получается, 41 было."
95240,98320," Должно быть."
98320,99340," Да, да."
99340,101500," А у меня 43."
101500,105040," Ты еще жалуешься, что мало?"
105040,109300," Ну, у тебя мама ездит."
109300,113400," И деньги."
113400,114760," Зачем тебе удача?"
114760,117200," Тебе уже и так в жизни повезло."
117200,119340," Удача нужна таким, как я."
